viet_tat,day_du,loai,ghi_chu
TT,thông tư,hanh_chinh,"cần xét ngữ cảnh (trùng ""thị trấn""",trung tâm)
NQ,nghị quyết,hanh_chinh,viết tắt hành chính chính thức
CP,Chính phủ,hanh_chinh,"cần xét ngữ cảnh (trùng ""cổ phần"")"
kh,không,teencode,"biến thể chính tả của ""không"""
hoq,không,teencode,"biến thể chính tả của ""không"""
khum,không,teencode,"biến thể hài hước của ""không"""
khong,không,teencode,gõ thiếu dấu
kb,kết bạn,teencode,phổ biến trong chat/mạng xã hội
tl,trả lời,teencode,"cần xét ngữ cảnh (trùng ""tình yêu"")"
qtv,quản trị viên,teencode,phổ biến trong nhóm/diễn đàn
cmt,bình luận,teencode,"mượn từ tiếng Anh ""comment"""," cần xét ngữ cảnh (trùng ""chứng minh thư"")"
cmnt,bình luận,teencode,"biến thể của ""cmt"""
lag,bị lỗi,teencode,"mượn từ tiếng Anh ""lag"""
fb,Facebook,teencode,tên riêng mạng xã hội
zalo,Zalo,teencode,tên riêng ứng dụng
face,Facebook,teencode,gọi tắt của Facebook
seen,đã xem,teencode,mượn từ tiếng Anh
đth,điện thoại,teencode,biến thể viết tắt
mng,mọi người,teencode,"biến thể của ""mn"""
ngta,người ta,teencode,phổ biến trong chat/mạng xã hội
ngto,người ta,teencode,biến thể chính tả
nvm,thôi bỏ đi,teencode,"mượn từ tiếng Anh ""nevermind"""
btw,nhân tiện,teencode,"mượn từ tiếng Anh ""by the way"""
fyi,để bạn biết,teencode,"mượn từ tiếng Anh ""for your information"""
omg,trời ơi,teencode,"mượn từ tiếng Anh ""oh my god"""
lol,buồn cười quá,teencode,mượn từ tiếng Anh
haha,cười,teencode,biểu cảm cười trong chat
kk,cười,teencode,biểu cảm cười (mượn từ Hàn/Anh)
vcl,quá đáng,teencode,tiếng lóng thô tục, cần lọc khi làm sạch dữ liệu
vl,quá,teencode,tiếng lóng thô tục, cần lọc khi làm sạch dữ liệu
dm,chửi thề,teencode,tiếng lóng thô tục, cần lọc khi làm sạch dữ liệu
đm,chửi thề,teencode,tiếng lóng thô tục, cần lọc khi làm sạch dữ liệu
sml,rất tệ,teencode,tiếng lóng, viết tắt thô tục
gato,ghen ăn tức ở,teencode,tiếng lóng phổ biến
tth,tình trạng hôn nhân,hanh_chinh,cần xét ngữ cảnh (đa nghĩa)
ncc,nhà cung cấp,hanh_chinh,viết tắt thường dùng trong văn bản kinh doanh
kh,khách hàng,hanh_chinh,"cần xét ngữ cảnh (trùng ""không"")"
dv,dịch vụ,hanh_chinh,"cần xét ngữ cảnh (trùng ""đơn vị"")"
đvt,đơn vị tính,hanh_chinh,viết tắt thường dùng trong bảng biểu
sl,số lượng,hanh_chinh,viết tắt thường dùng trong bảng biểu
tp,thành phần,hanh_chinh,"cần xét ngữ cảnh (trùng ""thành phố"")"
kl,khối lượng,hanh_chinh,"cần xét ngữ cảnh (trùng ""kết luận"")"
tg,thời gian,hanh_chinh,"cần xét ngữ cảnh (trùng ""tác giả"")"
qh,quốc hội,hanh_chinh,"cần xét ngữ cảnh (trùng ""quan hệ"")"
qp,quốc phòng,hanh_chinh,viết tắt hành chính chính thức
csgt,cảnh sát giao thông,hanh_chinh,viết tắt hành chính chính thức
cq,cơ quan,hanh_chinh,viết tắt thường dùng trong văn bản
cty,công ty,hanh_chinh,viết tắt phổ biến
cn,chi nhánh,hanh_chinh,"cần xét ngữ cảnh (trùng ""công nghệ""",công nhân)
kt,kinh tế,hanh_chinh,"cần xét ngữ cảnh (trùng ""kỹ thuật"")"
ytế,y tế,hanh_chinh,gõ thiếu dấu cách
bv,bệnh viện,hanh_chinh,viết tắt hành chính chính thức
pk,phòng khám,hanh_chinh,"cần xét ngữ cảnh (trùng ""phòng ký"")"
đd,điều dưỡng,hanh_chinh,viết tắt hành chính chính thức
dl,du lịch,hanh_chinh,"cần xét ngữ cảnh (trùng ""dữ liệu"")"
đl,đại lý,hanh_chinh,"cần xét ngữ cảnh (trùng ""độ lớn"")"
nxb,nhà xuất bản,hanh_chinh,viết tắt hành chính chính thức
tk,tài khoản,hanh_chinh,"cần xét ngữ cảnh (trùng ""thư ký"")"
stk,số tài khoản,hanh_chinh,viết tắt hành chính chính thức
qc,quảng cáo,hanh_chinh,"cần xét ngữ cảnh (trùng ""quy chế"")"
ncs,nghiên cứu sinh,hanh_chinh,viết tắt hành chính chính thức
nckh,nghiên cứu khoa học,hanh_chinh,viết tắt hành chính chính thức
đvhc,đơn vị hành chính,hanh_chinh,viết tắt hành chính chính thức
tct,tổng công ty,hanh_chinh,viết tắt hành chính chính thức
sxkd,sản xuất kinh doanh,hanh_chinh,viết tắt hành chính chính thức
nsnn,ngân sách nhà nước,hanh_chinh,viết tắt hành chính chính thức
gtgt,giá trị gia tăng,hanh_chinh,viết tắt hành chính chính thức (thuế GTGT)
tncn,thu nhập cá nhân,hanh_chinh,viết tắt hành chính chính thức (thuế TNCN)
tndn,thu nhập doanh nghiệp,hanh_chinh,viết tắt hành chính chính thức (thuế TNDN)
hd,hợp đồng,hanh_chinh,"cần xét ngữ cảnh (trùng ""hoạt động"")"
hđlđ,hợp đồng lao động,hanh_chinh,viết tắt hành chính chính thức
bc,báo cáo,hanh_chinh,viết tắt thường dùng trong văn bản
tb,thông báo,hanh_chinh,"cần xét ngữ cảnh (trùng ""trung bình"")"
vb,văn bản,hanh_chinh,viết tắt thường dùng
tơi,tới,vung_mien,phát âm miền Nam
zui,vui,teencode,biến thể chính tả hài hước
thoai,thôi,teencode,"biến thể chính tả của ""thôi"""
oy,rồi,teencode,"biến thể chính tả của ""rồi"""
mí,mấy,vung_mien,cần xét ngữ cảnh (đa nghĩa, phát âm miền Nam)
hen,nhé,vung_mien,phát âm miền Nam
nghen,nhé,vung_mien,phát âm miền Nam
nè,này,vung_mien,phát âm miền Nam
đó,đấy,vung_mien,phát âm miền Nam
hè,nhỉ,vung_mien,phát âm miền Trung/Nam
tề,kìa,vung_mien,phương ngữ miền Trung
mần,làm,vung_mien,phương ngữ miền Trung
nác,nước,vung_mien,phương ngữ miền Trung (Nghệ An/Hà Tĩnh)
đọi,bát,vung_mien,phương ngữ miền Trung (Nghệ An/Hà Tĩnh)
mụ,bà,vung_mien,phương ngữ miền Trung
tau,tao,vung_mien,phương ngữ miền Trung
mi,mày,vung_mien,phương ngữ miền Trung
mắc cỡ,xấu hổ,vung_mien,phương ngữ miền Nam
xỉu,ngất,vung_mien,tiếng lóng miền Nam
quởn,rảnh rỗi,vung_mien,phương ngữ miền Nam
mắc công,mất công,vung_mien,phương ngữ miền Nam
lẹ,nhanh,vung_mien,phương ngữ miền Nam
banh ta lông,hỏng hết,teencode,tiếng lóng phổ biến trên mạng
chằm zn,trầm cảm,teencode,"biến âm hài hước của ""trầm cảm"""
